node_id,name,latitude,longitude,demand
0,Vancouver General Hospital,49.2594,-123.1233,0  
1,Stanley Park,49.3043,-123.1443,10
2,Granville Island,49.2712,-123.1336,8
3,Canada Place,49.2893,-123.1119,12
4,Science World,49.2763,-123.1261,15
5,Vancouver City Hall,49.2819,-123.1171,9
6,UBC,49.2606,-123.2460,7
7,Gastown,49.2834,-123.1105,11
8,Rogers Arena,49.2759,-123.1303,6
9,BC Place Stadium,49.2742,-123.1215,14
10,Vancouver Aquarium,49.3008,-123.1387,5
11,Capilano Suspension Bridge,49.3423,-123.1144,7
12,Museum of Anthropology,49.2601,-123.2469,4

